Male,AlcYearTotal,EverHadAlcohol,Married,Under21,AlcoholAbuse,White,Black,Asian,Hispanic,LessHighS,HighSchool,SomeCollege,CollegeGrad,Employed,Unemployed,Student/Other,Less20k,20-50k,50-75k,Over75k
1,208,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
0,104,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,52,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
0,14,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,156,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,10,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,120,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,208,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,60,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,208,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,48,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,24,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,12,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,228,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,12,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1,52,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,12,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,260,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,21,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
1,156,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,156,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,48,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
0,300,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,24,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,60,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,52,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,7,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,24,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,60,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,36,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,60,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,10,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,208,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
0,104,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
0,58,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,104,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,338,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
