YEAR,MONTH_NUM,MONTH_MON,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_C_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1
2016,12.00,DEC,Bremen,Germany,23.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Hanover,Germany,63.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Berlin/ Tegel,Germany,209.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Stuttgart,Germany,119.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Saarbruecken,Germany,7.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Leipzig-Halle,Germany,79.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Nuremberg,Germany,54.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Munich,Germany,414.00,29.00,3.00,1.00,0.00,0.00,0.00
2016,12.00,DEC,Dusseldorf,Germany,223.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Cologne-Bonn,Germany,165.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Hamburg,Germany,172.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Muenster-Osnabrueck,Germany,10.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Frankfurt,Germany,426.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Erfurt,Germany,5.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Dresden,Germany,23.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Berlin/ Schoenefeld,Germany,155.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Zí_rich,Switzerland,322.00,225.00,23.00,4.00,0.00,0.00,0.00
2016,12.00,DEC,Sion,Switzerland,10.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Geneva,Switzerland,226.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,HyíÂres-Le Palyvestre,France,10.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Strasbourg-Entzheim,France,23.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Brive-Souillac,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bí¢le-Mulhouse,France,81.00,72.00,5.00,2.00,0.00,0.00,0.00
2016,12.00,DEC,Nantes-Atlantique,France,60.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Quimper-Pluguffan,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Rennes-Saint-Jacques,France,25.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Le Mans,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Caen-Carpiquet,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
